date,north_am_index,north_pm_index,south_am_index,south_pm_index,north_am_raw,north_pm_raw,south_am_raw,south_pm_raw
2026-08-01,3,1,3,1,,,,
2026-08-02,1,1,1,1,,,,
2026-08-03,10,10,10,8,,,,
2026-08-04,2,1,10,7,,,,
2026-08-05,2,1,10,7,,,,
2026-08-06,1,1,8,1,,,,
2026-08-07,1,1,4,1,,,,
2026-08-08,1,1,3,1,,,,
2026-08-09,3,1,3,1,,,,
2026-08-10,3,4,1,1,,,,
2026-08-11,10,10,2,1,,,,
2026-08-12,1,1,1,2,,,,
2026-08-13,1,1,10,2,,,,
2026-08-14,1,1,1,1,,,,
2026-08-15,1,1,1,1,,,,
2026-08-16,1,1,7,1,,,,
2026-08-17,1,1,2,1,,,,
2026-08-18,3,1,5,1,,,,
2026-08-19,4,1,5,1,,,,
2026-08-20,1,1,1,1,,,,
2026-08-21,2,1,1,1,,,,
