date,north_am_index,north_pm_index,south_am_index,south_pm_index,north_am_raw,north_pm_raw,south_am_raw,south_pm_raw
2026-07-01,1,1,1,1,,,,
2026-07-02,1,1,1,1,,,,
2026-07-03,1,1,1,1,,,,
2026-07-04,1,1,1,1,,,,
2026-07-05,1,1,1,1,,,,
2026-07-06,1,1,1,1,,,,
2026-07-07,1,1,1,1,,,,
2026-07-08,3,1,1,1,,,,
2026-07-09,9,1,5,1,,,,
2026-07-10,10,1,4,1,,,,
2026-07-11,7,10,1,1,,,,
2026-07-12,8,10,2,1,,,,
2026-07-13,10,6,8,1,,,,
2026-07-14,8,3,1,1,,,,
2026-07-15,6,1,2,2,,,,
2026-07-16,1,1,1,1,,,,
2026-07-17,1,1,1,1,,,,
2026-07-18,1,1,1,1,,,,
2026-07-19,1,1,1,1,,,,
2026-07-20,3,3,1,1,,,,
2026-07-21,10,1,5,1,,,,
2026-07-22,10,1,2,1,,,,
2026-07-23,4,1,1,1,,,,
2026-07-24,10,4,2,1,,,,
2026-07-25,3,2,1,1,,,,
2026-07-26,2,2,2,1,,,,
2026-07-27,2,1,1,1,,,,
2026-07-28,10,8,10,1,,,,
2026-07-29,10,10,8,1,,,,
2026-07-30,10,1,3,1,,,,
2026-07-31,10,3,6,1,,,,
